"tx_date","address","symbol","entryPrice","token_amount_received","TP_price_1","TP_price_2","amount_to_sell","PNL","value_USD"
"2024-04-10T01:31:19.777Z","EyvcV8EC3fFFkdmQzTX4K4mQKoJpTDJFXFHTnGWFDd46","WMOON","0.000188807","7944.603557017","0.000472018","0.001888070","5561.22","14.03","1.71"
"2024-04-09T05:08:35.619Z","HKHnQZ5YM9JJfJwmeHu5V8LRyKWSM2mMTXBtQBSVPkbN","WARDOG","0.000069829","28641.584866281","0.000174572","0.000698290","20049.11","11.48","2.23"
"2024-04-09T01:18:48.387Z","6UtqbpB4QocTUZktKFn35qEiSiuhvxqmwso8YZwZcXBJ","CATG","0.000068331","43903.89202","0.000170827","0.000683310","30732.72","9.01","2.29"
"10-04-2024 20:40:35","CJNWwoV37YqzjiYC1JRJbiqKXFpTuQ3SVK433SRtxFw8","CWW","0.000631427","4751.143413","0.001578568","0.006314270","3325.8003891","7.61","3.23"
"2024-04-07T17:35:50.546Z","CXo9Zh8uivpcLBvFUki78fqFo6n7rDaXikm9hNPgjnfM","205/45R16","0.000141183","7083.017327","0.000352957","0.001411830","4958.11","5.90","3.38"
"2024-04-07T16:08:25.991Z","5kx3accCXXKn6ECzY1YkfS1qWy6D3HdJyqN8y58BRvY4","RAMEN","0.000113053","8845.415985062","","","6191.79","5.86",""
"10-04-2024 05:39:13","5tndCUU9jmHt7sW8QTSLSKjYkzGSZQVVbSAZs7V1DJQ2","DREYK","0.000052170","57504.099922156","0.000130425","0.000521700","40252.869945509","5.46","3.16"
"11-04-2024 20:36:02","DB34KWhcH7bqsbA7nReDk2VBUexKbWa18dVvfD8XC8xP","BREXIT","0.000023929","127838.510726","0.000059823","0.000239290","89486.9575082","4.73","3.20"
"11-04-2024 12:33:49","C46fj9922NZWFsjePXNiwAJFWTmhDRrAotVCyjtDxJCc","WRINKLE","0.000087286","34369.848172288","0.000218215","0.000872860","24058.893720602","3.66","3.11"
"12-04-2024 07:45:11","D72aGnyfNqzESMiYXXkUANTHdHSzo79yiVcFpKmoX1QC","ShibSeki","0.000043586","69634.586034829","0.000108965","0.000435860","48744.21022438","2.13","3.10"
"12-04-2024 01:11:24","CuT5GbirPtQos8ZAhfoKQ9SUVT4sqEyw7aiWWx9nDPL8","NINBA","0.000018633","162551.677605509","0.000046582","0.000186330","113786.174323856","1.46","3.07"
"2024-04-07T12:58:10.780Z","6Hfwp6Fht1pEtusLsDqKuovBisPbFVoA7jZQYeK1aMmG","FOFAR","0.000045690","21886.43687843","","","15320.51","1.35",""
"12-04-2024 03:04:53","EqLHquidpBdWWyE3LhdfszN38fuKSUEiRNonuG4bxPyi","homo","0.000037697","80503.749693246","0.000094243","0.000376970","56352.624785272","0.57","3.05"
"12-04-2024 04:40:00","4FL8cCHQHZCHCpkjDgW81k6fGDsvytcL1t8qJsQiaHVW","NARP","0.000119036","25566.561914814","0.000297590","0.001190360","17896.59334037","0.40","3.06"
"12-04-2024 00:48:38","6XWiQippCPJNqKhYhQa4VTe7bszTqeUXLreXWBrgXHbS","ANDROW","0.000014580","208052.680005","0.000036450","0.000145800","145636.8760035","0.05","3.03"
"12-04-2024 03:09:00","BFL4zCrGtGG9Qp6dFdznx3TdbZT4zBD4p9Fftpbssc8w","PPB","0.000102739","29629.921479398","0.000256847","0.001027390","20740.945035579","-4.02","2.92"
"11-04-2024 07:07:56","7vfoNFNnhpbjrhsiZSyWQp3ToFt93BNqFcb1pPzs1pmw","LORRY","0.000026857","111703.772641888","0.000067142","0.000268570","78192.640849322","-4.40","2.87"
"11-04-2024 15:50:43","GgdQLEdMkSgq12d8S95FCLAd8kXq9pEKh1dEEifqptKK","IQ","0.000026264","115206.500994026","0.000065660","0.000262640","80644.550695818","-4.76","2.88"
"12-04-2024 05:05:43","aXNx9xd9EUAd1xci3aUX1FjyNTAxaYrX29GsL7YtBJq","SOLNTN","0.000064589","47246.890953","0.000161472","0.000645890","33072.8236671","-6.32","2.86"
"11-04-2024 20:28:44","2v7qzrCwGYsEizhVVeyaunYokRG7HoQCRmgkAseoLJqJ","KITYEANU","0.000008533","358406.684967808","0.000021332","0.000085330","250884.679477466","-8.16","2.81"
