tx_date,address,symbol,usd_spent,sol_spent,entryPrice,token_amount_received,TP_price_1,TP_price_2,TP_price_3,PNL,USD_value
15-04-2024 23:04:49,E35Wyej94s2vnSwiCxktQwFkJF8U7ZC79pDQHDzyMRUC,GOW,2.00,0.01,0.000000146,13677771.37,0.000000241,0.000000344,0.000000673,,
15-04-2024 23:05:16,DvMws5aHxTSoA2FW5SXX8LUzX2MbKqVp25Lw21PhLEsm,WARNG,2.00,0.01,0.000010161,196834.85,0.000016765,0.000023878,0.000046740,,
15-04-2024 23:11:09,DDvERpdavG4WvtEQcFNceEhyENXENMqizPhXt7QnKkeB,DUMBO,2.00,0.01,0.000037685,53071.35,0.000062180,0.000088560,0.000173352,,
15-04-2024 23:48:15,Ddq8eHVAmndFMe3FoCMziEVQPFNYeCdHS1oiDGsiNL4r,BOB,2.00,0.01,0.000066548,30053.38,0.000109805,0.000156388,0.000306122,,
15-04-2024 23:50:20,xEfq4PGzDs6AvkCisc2dL21LYLGY5kSXN7KLY8oapxS,CAST,2.00,0.01,0.000063530,31481.16,0.000104825,0.000149296,0.000292238,,
15-04-2024 23:52:15,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000049872,40102.78,0.000082289,0.000117199,0.000229411,,
15-04-2024 23:55:41,F8LvhqLXkcXCztkGGLaRMcU33pVdEoNFn8GUHrZNEqYP,OF,2.00,0.01,0.000043899,45559.00,0.000072434,0.000103163,0.000201936,,
15-04-2024 23:57:10,F8LvhqLXkcXCztkGGLaRMcU33pVdEoNFn8GUHrZNEqYP,OF,2.00,0.01,0.000043661,45807.99,0.000072040,0.000102602,0.000200838,,
16-04-2024 00:06:21,6cRiiRnvkjkBtR81gVYUNn57b1PR9LWvQx2g7CZZoWFS,DOGTOY,2.00,0.01,0.000074864,26715.02,0.000123526,0.000175931,0.000344376,,
16-04-2024 00:41:10,CV28z4Me1z476dSpjgK8WcQRpMoBHY6orLFY2UKxtLED,GREEN,2.00,0.01,0.000021373,93575.93,0.000035265,0.000050227,0.000098316,,
16-04-2024 00:46:47,AGQZdsUrsoxsC66cvyc8KhcNPfSuDk3PzbZYaAvEBeWz,WHYTE,2.00,0.01,0.000037371,53518.01,0.000061661,0.000087821,0.000171905,,
16-04-2024 00:50:09,Fg261eTKgNMpt8okj3qgqJ7RsYKTgrPdYdFe1KQUivyf,nOOdlz,2.00,0.01,0.000017928,111555.56,0.000029582,0.000042131,0.000082470,,
16-04-2024 01:23:29,BuAL6Qt1CJbfa6wnHnYNqj572nQpKGR7C5xe4jn3icBp,Culture,2.00,0.01,0.000066034,30287.46,0.000108956,0.000155180,0.000303756,,
16-04-2024 01:30:02,7gtuZrxJ6v4rTtBbWcNj4n6dhRRJy3NFdqsiJ6b6dQVm,SOLWARS,2.00,0.01,0.000027139,73695.78,0.000044779,0.000063776,0.000124838,,
16-04-2024 01:33:03,8pTHFvez9ojrhENxHdvWhvY9fEAJmJj5xQx5N9AJofQA,MOONWIF,2.00,0.01,0.000032936,60723.85,0.000054344,0.000077400,0.000151506,,
16-04-2024 01:58:50,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000122106,16379.24,0.000201475,0.000286949,0.000561687,,
16-04-2024 02:12:10,pz8KjM9AHRu8MvjEbxHjZ6RwxQjTgxvTtRsaQtCUyQf,FUX,2.00,0.01,0.000040065,49918.70,0.000066107,0.000094153,0.000184300,,
16-04-2024 02:24:04,E1bcNNEiyiTGYuxbNWMsd54tom5WhWXPA6Z1G1QfsQ8d,Totoro,2.00,0.01,0.000034403,58135.14,0.000056764,0.000080846,0.000158252,,
16-04-2024 02:42:00,JEEZng8sH5Zs5KHhF2kjboC9k6Qgq8XVF5gV1YwkWpir,Grok-1.5,2.00,0.01,0.000562405,3556.16,0.000927968,0.001321651,0.002587062,,
16-04-2024 02:49:17,A1SvqJoSQGy3w6nR2qpjEUpehdboJGRvyWbFjLWADqfL,TRAMP,2.00,0.01,0.000013450,148695.15,0.000022193,0.000031608,0.000061872,,
16-04-2024 03:10:14,AYxrfFpQgXxXw7YzJib3AFi8vVHWWva5Ldoj2JjAZmcB,hebo,2.00,0.01,0.000072985,27402.95,0.000120425,0.000171514,0.000335730,,
16-04-2024 03:29:19,7gtuZrxJ6v4rTtBbWcNj4n6dhRRJy3NFdqsiJ6b6dQVm,SOLWARS,2.00,0.01,0.000019558,102258.59,0.000032271,0.000045962,0.000089968,,
16-04-2024 03:30:51,7gtuZrxJ6v4rTtBbWcNj4n6dhRRJy3NFdqsiJ6b6dQVm,SOLWARS,2.00,0.01,0.000019497,102577.49,0.000032171,0.000045819,0.000089688,,
16-04-2024 03:31:22,DceGWPqGC8vJDTd2TivCcRuhEFfYRuf2NYuBhJyLP4Ve,MAGAPUMP,2.00,0.01,0.007769704,257.41,0.012820012,0.018258804,0.035740638,,
16-04-2024 03:44:31,7gtuZrxJ6v4rTtBbWcNj4n6dhRRJy3NFdqsiJ6b6dQVm,SOLWARS,2.00,0.01,0.000019572,102187.88,0.000032293,0.000045994,0.000090030,,
16-04-2024 04:20:43,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000153006,13071.37,0.000252460,0.000359564,0.000703828,,
16-04-2024 04:57:00,39fVXXLYCGh9G4aTHvMoDhWo7yc1sSiUHv47SLoBobkw,GANJA,2.00,0.02,0.000049640,40290.18,0.000081906,0.000116654,0.000228343,,
16-04-2024 05:32:14,B7vgVtZGYWzYLtj3b3hMME8bEWBbj9pkxdZxRpk7F81S,WOODY,2.00,0.01,0.000011284,177243.06,0.000018619,0.000026517,0.000051906,,
16-04-2024 05:32:22,6nrPYZzXmxAkPP9hZ9LnXsMC95fQ3TDrFCUz8aoLzu9u,SPC,2.00,0.01,0.000016070,124455.70,0.000026515,0.000037764,0.000073922,,
16-04-2024 05:48:44,3RkHtXu7mZhYk2PcZEpifoDn46ahSGiqKLLS5fJhrTFj,DACAT,2.00,0.01,0.017045554,117.33,0.028125164,0.040057051,0.078409548,,
16-04-2024 05:57:28,97oWtQfbZMdDbn1jdNciDHm2vnPBR8VT3Ns7vSS7i9cm,$PITALIK,2.00,0.01,0.000044869,44574.62,0.000074033,0.000105441,0.000206395,,
16-04-2024 06:13:08,FS5sF7une4vuxF2d7bZ7rZFFomULQE3msQ54TFP5tQKd,FEWAWI,2.00,0.01,0.000123903,16141.69,0.000204440,0.000291171,0.000569953,,
16-04-2024 06:22:16,354qUUtpNCohQ4W33mX3hhtvTcXoPgYRt2szY5yjXsiu,SCAT,2.00,0.01,0.000013418,149049.76,0.000022140,0.000031533,0.000061724,,
16-04-2024 06:22:25,F6wgrTy4WHwNWZyiZrJKqPZMYhgGppyiQnnKo9rNP2JW,Brock,2.00,0.01,0.000126495,15810.94,0.000208716,0.000297263,0.000581876,,
16-04-2024 06:32:50,APnUsTJZNkxBaZXTzAqFoY1hLtkJhZCPDBEMtoLEEeiM,OIL,2.00,0.01,0.000124634,16047.02,0.000205646,0.000292889,0.000573315,,
16-04-2024 07:09:00,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000126378,15825.50,0.000208524,0.000296989,0.000581340,,
16-04-2024 08:27:14,A8dtAfcmDk1QZr4NvHg4JAW3MNr2rUK3cFVDr7vF8bfe,BENJI,2.00,0.01,0.000562296,3556.85,0.000927788,0.001321395,0.002586561,,
16-04-2024 08:48:31,521eNYHCkyZ9rqFeCGMYYWabF6yVyRfcfjTDDKXBya8f,TERRA,2.00,0.01,0.004695654,425.93,0.007747830,0.011034788,0.021600010,,
16-04-2024 09:03:28,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000090009,22220.08,0.000148514,0.000211520,0.000414040,,
16-04-2024 09:12:03,39fVXXLYCGh9G4aTHvMoDhWo7yc1sSiUHv47SLoBobkw,GANJA,2.00,0.01,0.000048230,41468.26,0.000079579,0.000113340,0.000221856,,
16-04-2024 09:14:50,8WwgTMmb2XCsHammMMT4Q6o4YEoJeSS1Czo9zHCAAkQY,RWO,2.00,0.01,0.000068862,29043.50,0.000113623,0.000161826,0.000316766,,
16-04-2024 09:43:00,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000111256,17976.64,0.000183572,0.000261450,0.000511775,,
16-04-2024 09:43:33,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000110604,18082.60,0.000182496,0.000259918,0.000508776,,
16-04-2024 09:48:25,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000129833,15404.37,0.000214225,0.000305108,0.000597233,,
16-04-2024 09:50:55,43eeGP8k9AZKBSyd9iahhThNtE3vcZvBWMaHNd2akM5s,JUM,2.00,0.01,0.000121604,16446.78,0.000200647,0.000285770,0.000559380,,
