buy_date,sell_date,address,symbol,entryPrice,exitPrice,usd_spent,usd_received,result_usd
15-04-2024 03:01:42,15-04-2024 06:43:46,5zYxj5uSYWxvCx7mrU1NbDbxDzpFtWrpZ922bFCPr4zW,shromp,0.000117119,0.000087135,2,1.487964,-0.51
14-04-2024 22:38:31,15-04-2024 07:15:53,2hJHbc9TTkMNcioH1Rs2HKMuYcFGrbx7bEx5ewy8MQaq,STRIKE,0.000194992,0.000278557,3,4.285659,1.29
14-04-2024 22:15:17,15-04-2024 07:52:34,APnUsTJZNkxBaZXTzAqFoY1hLtkJhZCPDBEMtoLEEeiM,OIL,0.000019291,0.000023268,3,3.61844,0.62
14-04-2024 22:15:17,15-04-2024 08:09:38,APnUsTJZNkxBaZXTzAqFoY1hLtkJhZCPDBEMtoLEEeiM,OIL,0.000019291,0.000008410,3,1.307844,-1.69
14-04-2024 22:38:31,15-04-2024 08:24:02,2hJHbc9TTkMNcioH1Rs2HKMuYcFGrbx7bEx5ewy8MQaq,STRIKE,0.000194992,0.000063259,3,0.973254,-2.03
13-04-2024 12:54:01,15-04-2024 08:46:33,6X2iqarif2jVkEPmM6Ue2sqwFrjfhooNURCTLm2AAcLk,PXL,0.000076001,0.000036720,4,1.932591,-2.07
15-04-2024 03:36:59,15-04-2024 09:45:06,ETkyH7Jxp15PBcWFgnNJQ4Xg4zUNYdZYSToyEHJwmPqd,$Bombden,0.000014301,0.000014036,2,1.96297,-0.04
14-04-2024 16:50:06,15-04-2024 09:46:32,3LootCQtdBQFUH1mLgKDVxDXS2TMjDNZpexYiCm7hbhH,OGs,0.000094178,0.000059527,4,2.528272,-1.47
15-04-2024 03:36:59,15-04-2024 09:48:32,ETkyH7Jxp15PBcWFgnNJQ4Xg4zUNYdZYSToyEHJwmPqd,$Bombden,0.000014301,0.000014032,2,1.962325,-0.04
14-04-2024 22:15:17,15-04-2024 09:57:05,APnUsTJZNkxBaZXTzAqFoY1hLtkJhZCPDBEMtoLEEeiM,OIL,0.000019291,0.000010677,3,1.66041,-1.34
13-04-2024 12:37:05,15-04-2024 10:36:35,HodiZE88VH3SvRYYX2fE6zYE6SsxPn9xJUMUkW1Dg6A,HODI,0.000121510,0.000033470,3,0.826339,-2.17
13-04-2024 14:52:54,15-04-2024 11:26:49,AmEriCAq4JpHxZNBNEaKJb1VRptQGv1CRHz5ytNqBpN,fleg,0.000084874,0.000245354,4,11.563216,7.56
14-04-2024 16:55:59,15-04-2024 11:35:00,E1bcNNEiyiTGYuxbNWMsd54tom5WhWXPA6Z1G1QfsQ8d,Totoro,0.000066963,0.000041974,4,2.507307,-1.49
13-04-2024 14:01:11,15-04-2024 12:12:33,2pAFnY2Sp6d3kPCm684LuMf7CHakpCo2TQsNa4iXxjPQ,LAMBOW,0.000048401,0.000032432,4,2.6803,-1.32
13-04-2024 14:41:48,15-04-2024 12:39:48,4e2S9fKiRvGus13mjbVpsCX3VDasvmV3McLhDDCUKTMg,TATE,0.000069166,0.000050499,4,2.92046,-1.08
15-04-2024 12:46:12,15-04-2024 13:07:01,6wKXehAkufQRXabJjxLTVEVKLTXSv2cAjQkRZgqtgvXi,dena,0.000046482,0.000029172,3,1.88278,-1.12
13-04-2024 14:41:48,15-04-2024 13:10:40,4e2S9fKiRvGus13mjbVpsCX3VDasvmV3McLhDDCUKTMg,TATE,0.000069166,0.000052201,4,3.018898,-0.98
13-04-2024 14:41:48,15-04-2024 13:12:11,4e2S9fKiRvGus13mjbVpsCX3VDasvmV3McLhDDCUKTMg,TATE,0.000069166,0.000051840,4,2.998026,-1.00
13-04-2024 14:41:48,15-04-2024 13:14:44,4e2S9fKiRvGus13mjbVpsCX3VDasvmV3McLhDDCUKTMg,TATE,0.000069166,0.000052315,4,3.025492,-0.97
13-04-2024 15:38:10,15-04-2024 13:44:42,FJGXzj84efd8f9oxGtCxka5edavEysRBpPoWCMuvYjgR,AGONT,0.000082964,0.000051735,4,2.494366,-1.51
13-04-2024 15:09:25,15-04-2024 13:59:00,F8LvhqLXkcXCztkGGLaRMcU33pVdEoNFn8GUHrZNEqYP,OF,0.000075556,0.000056205,4,2.975558,-1.02
15-04-2024 10:20:52,15-04-2024 14:00:28,EhrS5zE4zsvDiRhw3joJkEi8MmAagHfr3udxtdxU6N9m,BODENOMICS,0.016933201,0.011035780,2,1.303436,-0.70
15-04-2024 07:18:41,15-04-2024 14:04:04,BrL6Rshw17njdx4ZE8BCLNro4r8CqZopXMzyVJ73mjyg,SKOTCH,0.000094821,0.000060014,2,1.265834,-0.73
13-04-2024 13:56:47,15-04-2024 14:36:18,H2usNMctRyMQC2dfhiwHzdRNZiXKnbQLBWJR8T3578J2,SIMI,0.000013404,0.000004014,4,1.197685,-2.80
15-04-2024 02:10:27,15-04-2024 14:47:20,6y56NYaUtKtjT5LKrVvZ3rsLnKyQ96phU3ckSARUkNax,puten,0.011877404,0.009836148,2,1.656309,-0.34
13-04-2024 19:04:52,15-04-2024 14:58:56,BuAL6Qt1CJbfa6wnHnYNqj572nQpKGR7C5xe4jn3icBp,Culture,0.000097543,0.000062784,4,2.574591,-1.43
15-04-2024 14:25:24,15-04-2024 14:59:53,521eNYHCkyZ9rqFeCGMYYWabF6yVyRfcfjTDDKXBya8f,TERRA,0.008578545,0.005513208,3,1.928024,-1.07
15-04-2024 13:21:27,15-04-2024 15:05:02,8TkW3qJckBmg87JxUVjRuEWkhVJqFJ5LgsWai2uCUgMR,SHITOSHI,0.005853079,0.003687632,3,1.890096,-1.11
15-04-2024 00:09:27,15-04-2024 15:17:18,Bidenzk7YEmQyADbAxnqYZJHnXe39WmWtPxTiLc7ExUw,BodenFam,0.000009569,0.000005648,2,1.180396,-0.82
15-04-2024 07:39:17,15-04-2024 15:17:54,Hs2FTaTRoGZnSDhJ1Apcd9zkQdjLBXQsbmBP735SQi4o,wig,0.000071149,0.000040919,2,1.150234,-0.85
15-04-2024 12:38:52,15-04-2024 15:30:32,4e2S9fKiRvGus13mjbVpsCX3VDasvmV3McLhDDCUKTMg,TATE,0.000039713,0.000036013,3,2.720487,-0.28
14-04-2024 22:59:21,15-04-2024 15:45:14,2FD3Qg3MXnAeHfz7VubFo9z1TiSrnREp1nQeZJy2tUBu,KAIJU,0.000037167,0.000024023,3,1.93911,-1.06
15-04-2024 05:58:35,15-04-2024 15:50:36,8YKLMpSExtZk19pfQFVzqpdAngHaAWo2pxvknFjFk9gw,TWTRR,0.000071481,0.000049342,2,1.380557,-0.62
13-04-2024 19:02:05,15-04-2024 16:18:05,ADckDbaL3uH89KV4S564tLDefwZVV6R83hR5dCz8i68b,$GRU,0.000217337,0.000134011,4,2.466412,-1.53
15-04-2024 10:30:37,15-04-2024 16:28:43,Hk1fv8zca6xgWqsHv8M8SFD4brjAEEQtXiZEEzWZdvDX,$CATA,0.000014836,0.000009003,3,1.820604,-1.18
15-04-2024 13:02:45,15-04-2024 16:40:03,8Yz9oZ6bhMEqJSn5jw7o1hXQcJ14p8RMpYq1n4yBdDCH,KABOSU,0.000789299,0.000507605,3,1.929325,-1.07
14-04-2024 22:59:41,15-04-2024 16:54:19,EqL84egjZBRb5HQTNW9tDrb2ZSPgeHmJfmciPye8keKC,DEMUCRATS,0.000052350,0.000031445,3,1.801983,-1.20
15-04-2024 07:06:36,15-04-2024 17:20:12,pz8KjM9AHRu8MvjEbxHjZ6RwxQjTgxvTtRsaQtCUyQf,FUX,0.000027275,0.000039626,2,2.905651,0.91
14-04-2024 23:30:45,15-04-2024 18:03:39,8FBKJzJ2ay5mG32egi8wNZWPThq115X6hkStcDmWsUXZ,SKECH,0.002671669,0.004629551,3,5.198477,2.20
