"tx_date","address","entryPrice","token_amount_received","TP_price","amount_to_sell","PNL"
"2024-04-06T22:09:09.244Z","Hoik5MwfyRUu8s8A2Wi32iLeda2qcDsRRjNUSj58Tesv","9.51007199204e-05","10515.167507","","7360.62","-57.13"
"2024-04-08T04:44:39.130Z","7DJX7xzZ3g3pvdVbv8NRWH6BjsHmjDB7B41nXwXL5twL","7.74803269592e-05","38719.506199","","27103.65","-52.65"
"2024-04-06T21:27:04.503Z","CostcoTwT6LgV53hLhKpoauHKaoahNxnFAYEeukAinoB","0.0001689801503275","5917.854837162","","4142.5","-60.13"
"2024-04-08T20:17:48.930Z","8BqhogRNYYKVdMMr1MCx5v8JdLJsbUhH872Str9DkTAZ","9.34709408324e-05","21397.024382","","14977.92","-46.97"
"2024-04-07T20:10:02.014Z","6AFwZjH4o4vyNbFqJGYwSXX8acL5yZLYhvQVNSUPZBm","1.19900755027e-05","83402.3105","","58381.62","-62.02"
"2024-04-07T18:15:32.523Z","hWWTdtH3k29hp3LRrC6v8a8JgELv2ZaqsBJ35pvTZEh","0.0002296628683303","4354.208441573","","3047.95","-66.51"
"2024-04-08T04:49:38.388Z","CPoTXyyKQ2gwKuuwmJmGA11G8bf3ppBQh4ctyReiU1Cy","1.51780535679e-05","197653.802352037","","138357.66","-69.94"
"2024-04-07T13:43:41.144Z","A2H7towFaMotNmEgY9ePa4VyqirTitZQRcM9e9Xxc7gd","0.0002558026257354","7818.52803211","","5472.97","-73.79"
"2024-04-07T14:05:14.566Z","BLF27NgaNYRJzqG58u539BiN7KFkKVoTdqmoT3DKg8w1","0.0004496428962646","3335.980647","","2335.19","-72.17"
"2024-04-07T13:56:24.929Z","NFTTeeQ7Fx5ENiY9iEw2Psffx9mtUNw6X3mpfymxMHb","0.0013696240460109","2190.382104299","","1533.27","-74.66"
"2024-04-08T23:09:37.603Z","pAtqKs3vce1CgYa6jhHchmS4dtehzrGJFQF3PKx6Yur","1.4298300668e-06","699383.810158799","","489568.67","-76.55"
"2024-04-07T18:11:29.613Z","hWWTdtH3k29hp3LRrC6v8a8JgELv2ZaqsBJ35pvTZEh","0.0003184485970424","3140.224228611","","2198.16","-75.85"
"2024-04-08T08:27:57.812Z","4MKuAnScYHpGJqfC74ogHSjbcK26M6RBXCYBS2AEcdYg","5.6076750854e-06","356654.044597","","249657.83","-79.27"
"2024-04-07T14:06:08.963Z","A84CAxXPEzWrnN86cdeeGaPT4XT5qBPhYUX31o2RpvJA","3.268881351517003e-08","45887257.40394","","32121080.18","-82.29"
"2024-04-08T05:04:25.305Z","BPyGSNLHQRCruZgcoVTNmnnwpQEx1RvJhbZLeY7VqZVa","0.0004623070498761","6489.193709686","","4542.44","-85.59"
"2024-04-09T02:14:33.614Z","2xhiipmqiRjZNHHry6uk8aJncnqjWdBifv5g1SJGhQSk","3.04168831477e-05","49314.71751117","","34520.3","-85.65"
"2024-04-08T21:19:43.051Z","2pamTyk5ikyd9ZsxwCqiXnfGYomnArbLF593wFaQ3J6z","8.48066644079e-05","23583.052275","","16508.14","-86.53"
"2024-04-09T06:32:41.839Z","7toVautueJmLxDk24Btd588p1gzY1yzXMzvdGfjXAsx1","0.0001262778829029","15838.086243","","11086.66","-87.82"
"2024-04-07T17:07:48.241Z","5LK7XEx3G8LHouTgcRazK9Er3t9N2DhUjtzHCLgPrHqe","5.6035361451e-05","17845.874","","12492.11","-93.81"
"2024-04-08T08:59:29.695Z","EYJtBjaEhA6vKuAw8mBXaxgDY1e48ZDmknznKFZuhLXt","6.31903645768e-05","31650.395015","","22155.28","-97.04"
"2024-04-10T02:07:37.460Z","ERLqrrQkkyZGzsJ4nZB67Cbsp1krzPfJZobpBCDAtef1","0.00004156735017653228","48114.685961607","0.000145486","33680.280173125",""
"2024-04-10T02:15:10.970Z","AZ7ABJtSeZoFHhNzWhMVREMgGKZVCN8nEZwQfyZdALSZ","0.00007374738219993236","27119.606694349","0.000258116","18983.724686044",""
"2024-04-10T02:19:43.114Z","8FBKJzJ2ay5mG32egi8wNZWPThq115X6hkStcDmWsUXZ","0.017260303000649308","115.872821","0.060411061","81.110974700",""
