tx_date,address,symbol,entryPrice,token_amount_received,TP_price_1,TP_price_2,amount_to_sell,PNL
2024-04-09T23:33:40.570Z,GFcbpbgXeeCcbQSxiDXJxcpdpNpTkXLtNTYfAqGWN69D,ROLEKS,4.4957e-05,44486.943195,,0.00044957,,-39.96
2024-04-08T21:42:27.599Z,7PzXVMYvt9Zxr1fXjAyW8ipdugKUzB59nKTNZD1ToMTP,TKAT,6.58e-07,3037371.221402045,,6.58e-06,,-40.52
11-04-2024 02:24:43,FVYNig1bB7L2kgreHeoF5TeJKgQw4zn1CZSuPN6LQ42g,Geek,4.4208e-05,67860.570268,,0.00044208,,-41.14
2024-04-07T16:26:13.025Z,G2YKoNxQLAwhteTrWhFcTJtWLKKVAPxSvjxXtqjchFdh,MEOWTH,2.2296e-05,44850.141418,,0.00022296,,-42.35
2024-04-08T22:10:18.078Z,Ckf8z3jeM1sJDnMz3krpw6K58BZVCD5aBpmJmaqNPxAg,RATHOLE,2.458e-06,406862.882127537,,2.458e-05,,-44.07
11-04-2024 17:42:46,DbHuNmijFmK7F7peCSYZmF6yoi9Q3njBAdb3FCAkXNhS,BONKO,1.3466e-05,227440.199644,,0.00013466,,-45.7
11-04-2024 18:09:06,HGoAYv6kWU1aLADxdQU1PMpAMK8DJzvt79S3t1WppmzX,stinky,7.743e-06,396572.735364279,,7.743e-05,,-45.9
11-04-2024 22:17:34,AT6gUbGxoiXATJdhvsGgW3TR8Ky9qTpeTFryZZyZC6wN,gos,1.8426e-05,164450.238582,,0.00018426,,-46.62
2024-04-08T21:40:50.312Z,H94dHwwaRPhCAcSzhcW4ViY6PdmgMmvmEahvTUjHXAKn,TCAT,9.98e-06,200397.596052,,9.98e-05,,-51.54
2024-04-08T08:37:15.520Z,AZSkuvZvhw9AtFLLW2hWeRTbLy1PGdBFgx5mpXQg9cJT,COW,3.917e-06,510641.649386312,,3.917e-05,,-54.42
12-04-2024 10:44:01,HJH57E2XUYWjnkEUKxMwEnJUdmJHoVgYaHt3sHkEiYK9,ZOMZEB,9.00452591703e-05,33460.090086,0.000225113,0.000900453,,
