timestamp,description
"06-04-2024 22:32:10","update_account_PNL() starting now."
"06-04-2024 22:33:22","update_account_PNL() starting now."
"06-04-2024 22:34:33","update_account_PNL() starting now."
"06-04-2024 22:36:15","update_account_PNL() starting now."
"06-04-2024 22:37:26","update_account_PNL() starting now."
"06-04-2024 22:38:36","update_account_PNL() starting now."
"06-04-2024 22:39:04","buy_all_from_filtered() starting now."
"06-04-2024 22:39:48","update_account_PNL() starting now."
"06-04-2024 22:40:59","update_account_PNL() starting now."
"06-04-2024 22:42:12","update_account_PNL() starting now."
"06-04-2024 22:43:26","update_account_PNL() starting now."
"06-04-2024 22:44:39","update_account_PNL() starting now."
"06-04-2024 22:45:52","update_account_PNL() starting now."
"06-04-2024 22:47:06","update_account_PNL() starting now."
"06-04-2024 22:48:20","update_account_PNL() starting now."
"06-04-2024 22:49:33","update_account_PNL() starting now."
"06-04-2024 22:50:46","update_account_PNL() starting now."
"06-04-2024 22:51:36","buy_all_from_filtered() starting now."
06-04-24 22:51:52,dex_data_BOT_v2.py called
"06-04-2024 22:52:00","update_account_PNL() starting now."
"06-04-2024 22:53:14","update_account_PNL() starting now."
"06-04-2024 22:54:28","update_account_PNL() starting now."
"06-04-2024 22:55:42","update_account_PNL() starting now."
"06-04-2024 22:56:56","update_account_PNL() starting now."
"06-04-2024 22:58:10","update_account_PNL() starting now."
"06-04-2024 22:59:24","update_account_PNL() starting now."
"06-04-2024 23:00:26","buy_all_from_filtered() starting now."
"06-04-2024 23:00:38","update_account_PNL() starting now."
"06-04-2024 23:01:52","update_account_PNL() starting now."
"06-04-2024 23:03:05","update_account_PNL() starting now."
"06-04-2024 23:04:19","update_account_PNL() starting now."
"06-04-2024 23:05:32","update_account_PNL() starting now."
"06-04-2024 23:06:46","update_account_PNL() starting now."
"06-04-2024 23:06:48","buy_all_from_filtered() starting now."
"06-04-2024 23:07:59","update_account_PNL() starting now."
"06-04-2024 23:09:12","update_account_PNL() starting now."
"06-04-2024 23:10:28","update_account_PNL() starting now."
"06-04-2024 23:11:45","update_account_PNL() starting now."
"06-04-2024 23:13:01","update_account_PNL() starting now."
"06-04-2024 23:14:17","update_account_PNL() starting now."
"06-04-2024 23:14:27","buy_all_from_filtered() starting now."
"06-04-2024 23:15:34","update_account_PNL() starting now."
"06-04-2024 23:16:51","update_account_PNL() starting now."
06-04-24 23:17:59,dex_data_BOT_v2.py called
"06-04-2024 23:18:07","update_account_PNL() starting now."
"06-04-2024 23:19:23","update_account_PNL() starting now."
"06-04-2024 23:20:39","update_account_PNL() starting now."
"06-04-2024 23:20:55","buy_all_from_filtered() starting now."
"06-04-2024 23:25:43","buy_all_from_filtered() starting now."
"06-04-2024 23:32:02","buy_all_from_filtered() starting now."
"06-04-2024 23:38:31","buy_all_from_filtered() starting now."
"06-04-2024 23:45:02","buy_all_from_filtered() starting now."
"06-04-2024 23:51:24","buy_all_from_filtered() starting now."
"06-04-2024 23:57:47","buy_all_from_filtered() starting now."
07-04-24 00:02:10,dex_data_BOT_v2.py called
"07-04-2024 00:04:08","buy_all_from_filtered() starting now."
"07-04-2024 00:10:28","buy_all_from_filtered() starting now."
"07-04-2024 00:16:49","buy_all_from_filtered() starting now."
"07-04-2024 00:22:55","update_account_PNL() starting now."
"07-04-2024 00:22:59","buy_all_from_filtered() starting now."
"07-04-2024 00:24:09","update_account_PNL() starting now."
"07-04-2024 00:25:23","update_account_PNL() starting now."
"07-04-2024 00:26:39","update_account_PNL() starting now."
"07-04-2024 00:27:55","update_account_PNL() starting now."
"07-04-2024 00:29:12","update_account_PNL() starting now."
"07-04-2024 00:30:45","buy_all_from_filtered() starting now."
"07-04-2024 00:36:51","buy_all_from_filtered() starting now."
"07-04-2024 00:43:01","buy_all_from_filtered() starting now."
"07-04-2024 00:49:11","buy_all_from_filtered() starting now."
"07-04-2024 00:52:13","update_account_PNL() starting now."
"07-04-2024 00:53:30","update_account_PNL() starting now."
"07-04-2024 00:54:46","update_account_PNL() starting now."
"07-04-2024 00:55:14","buy_all_from_filtered() starting now."
07-04-24 00:56:11,dex_data_BOT_v2.py called
"07-04-2024 01:01:20","buy_all_from_filtered() starting now."
"07-04-2024 01:07:24","buy_all_from_filtered() starting now."
"07-04-2024 01:13:49","buy_all_from_filtered() starting now."
"07-04-2024 01:20:03","buy_all_from_filtered() starting now."
"07-04-2024 01:26:08","buy_all_from_filtered() starting now."
"07-04-2024 01:32:25","buy_all_from_filtered() starting now."
"07-04-2024 01:38:46","buy_all_from_filtered() starting now."
"07-04-2024 01:45:05","buy_all_from_filtered() starting now."
"07-04-2024 01:51:28","buy_all_from_filtered() starting now."
"07-04-2024 01:57:40","buy_all_from_filtered() starting now."
